Season,Match_ID,Attendance,Stadium_Capacity,Capacity_Utilization_Pct,TV_Reach_Viewers,Is_Big_Game,Brand_C_Chest_Active
2021/22,2021/22_M1,7165,27029,26.5,364350,0,1
2021/22,2021/22_M2,16009,27029,59.2,1813980,1,1
2021/22,2021/22_M3,12075,27029,44.7,1766479,1,1
2021/22,2021/22_M4,7284,27029,26.9,364141,0,1
2021/22,2021/22_M5,7655,27029,28.3,253717,0,1
2021/22,2021/22_M6,8581,27029,31.7,285886,0,1
2021/22,2021/22_M7,8646,27029,32.0,326805,0,1
2021/22,2021/22_M8,12545,27029,46.4,1965196,1,1
2021/22,2021/22_M9,12855,27029,47.6,1806396,1,1
2021/22,2021/22_M10,8750,27029,32.4,261814,0,1
2021/22,2021/22_M11,8762,27029,32.4,389679,0,1
2021/22,2021/22_M12,8361,27029,30.9,336450,0,1
2021/22,2021/22_M13,9428,27029,34.9,325783,0,1
2021/22,2021/22_M14,8912,27029,33.0,270663,0,1
2021/22,2021/22_M15,14908,27029,55.2,1900844,1,1
2021/22,2021/22_M16,12245,27029,45.3,1901972,1,1
2021/22,2021/22_M17,8286,27029,30.7,331532,0,1
2022/23,2022/23_M1,18125,27029,67.1,411030,0,1
2022/23,2022/23_M2,14424,27029,53.4,346588,0,1
2022/23,2022/23_M3,17222,27029,63.7,419211,0,1
2022/23,2022/23_M4,23244,27029,86.0,308582,0,1
2022/23,2022/23_M5,16674,27029,61.7,336544,0,1
2022/23,2022/23_M6,18307,27029,67.7,350855,0,1
2022/23,2022/23_M7,24041,27029,88.9,1673406,1,1
2022/23,2022/23_M8,17502,27029,64.8,402118,0,1
2022/23,2022/23_M9,15440,27029,57.1,373097,0,1
2022/23,2022/23_M10,19243,27029,71.2,357899,0,1
2022/23,2022/23_M11,15095,27029,55.8,335255,0,1
2022/23,2022/23_M12,23813,27029,88.1,1691979,1,1
2022/23,2022/23_M13,20172,27029,74.6,1811228,1,1
2022/23,2022/23_M14,14613,27029,54.1,413178,0,1
2022/23,2022/23_M15,12662,27029,46.8,348806,0,1
2022/23,2022/23_M16,16704,27029,61.8,330532,0,1
2022/23,2022/23_M17,16115,27029,59.6,363569,0,1
2023/24,2023/24_M1,22173,27029,82.0,1666553,1,1
2023/24,2023/24_M2,18082,27029,66.9,309077,0,1
2023/24,2023/24_M3,19310,27029,71.4,412654,0,1
2023/24,2023/24_M4,14518,27029,53.7,324516,0,1
2023/24,2023/24_M5,25612,27029,94.8,1726546,1,1
2023/24,2023/24_M6,19754,27029,73.1,1914618,1,1
2023/24,2023/24_M7,15723,27029,58.2,310151,0,1
2023/24,2023/24_M8,22142,27029,81.9,1937092,1,1
2023/24,2023/24_M9,15851,27029,58.6,340735,0,1
2023/24,2023/24_M10,17019,27029,63.0,385182,0,1
2023/24,2023/24_M11,19098,27029,70.7,310978,0,1
2023/24,2023/24_M12,17000,27029,62.9,365590,0,1
2023/24,2023/24_M13,16952,27029,62.7,388133,0,1
2023/24,2023/24_M14,21514,27029,79.6,1910819,1,1
2023/24,2023/24_M15,17969,27029,66.5,307047,0,1
2023/24,2023/24_M16,23160,27029,85.7,1862885,1,1
2023/24,2023/24_M17,14764,27029,54.6,356563,0,1
2024/25,2024/25_M1,14720,27029,54.5,313288,0,1
2024/25,2024/25_M2,18257,27029,67.5,339218,0,1
2024/25,2024/25_M3,16526,27029,61.1,415409,0,1
2024/25,2024/25_M4,13687,27029,50.6,348446,0,1
2024/25,2024/25_M5,14358,27029,53.1,371711,0,1
2024/25,2024/25_M6,16251,27029,60.1,383315,0,1
2024/25,2024/25_M7,14806,27029,54.8,281831,0,1
2024/25,2024/25_M8,14647,27029,54.2,326916,0,1
2024/25,2024/25_M9,16846,27029,62.3,367339,0,1
2024/25,2024/25_M10,16961,27029,62.8,313597,0,1
2024/25,2024/25_M11,16616,27029,61.5,298566,0,1
2024/25,2024/25_M12,18244,27029,67.5,397978,0,1
2024/25,2024/25_M13,13744,27029,50.8,307797,0,1
2024/25,2024/25_M14,17108,27029,63.3,361574,0,1
2024/25,2024/25_M15,17530,27029,64.9,523372,0,1
2024/25,2024/25_M16,19161,27029,70.9,394469,0,1
2024/25,2024/25_M17,15869,27029,58.7,384153,0,1
2025/26,2025/26_M1,16830,27029,62.3,311483,0,1
2025/26,2025/26_M2,24635,27029,91.1,1607355,1,1
2025/26,2025/26_M3,19445,27029,71.9,1855643,1,1
2025/26,2025/26_M4,20212,27029,74.8,1693858,1,1
2025/26,2025/26_M5,19226,27029,71.1,387294,0,1
2025/26,2025/26_M6,12449,27029,46.1,358390,0,1
2025/26,2025/26_M7,15611,27029,57.8,274889,0,1
2025/26,2025/26_M8,23202,27029,85.8,1675846,1,1
2025/26,2025/26_M9,20845,27029,77.1,1964510,1,1
2025/26,2025/26_M10,20744,27029,76.7,396460,0,1
2025/26,2025/26_M11,15038,27029,55.6,292403,0,1
2025/26,2025/26_M12,17387,27029,64.3,384858,0,1
2025/26,2025/26_M13,16461,27029,60.9,308033,0,1
2025/26,2025/26_M14,15994,27029,59.2,293849,0,1
2025/26,2025/26_M15,19586,27029,72.5,409546,0,1
2025/26,2025/26_M16,23233,27029,86.0,1823570,1,1
2025/26,2025/26_M17,16095,27029,59.5,352740,0,1
2026/27,2026/27_M1,20670,27029,76.5,379795,0,0
2026/27,2026/27_M2,19577,27029,72.4,445009,0,0
2026/27,2026/27_M3,20272,27029,75.0,376474,0,0
2026/27,2026/27_M4,19770,27029,73.1,359341,0,0
